species,formula,casrn,ref,htype,H_mol_m3_Pa,mindHR_K,lnH,dHsol_kJ_mol
"(1,1-dimethylethyl)-benzene",C6H5C4H9,98-06-6,2891,M,0.0016,4700,-6.43775,-39.078
"(1,1-dimethylethyl)-benzene",C6H5C4H9,98-06-6,2904,M,0.00094,2400,-6.96963,-19.9547
"(1,1-dimethylethyl)-methanoate",HCOOC4H9,762-75-4,2646,M,0.014,3600,-4.2687,-29.9321
"(1,1-dimethylethyl)-methanoate",HCOOC4H9,762-75-4,3518,L,0.014,3600,-4.2687,-29.9321
(1-methylpropyl)-benzene,C6H5C4H9,135-98-8,2891,M,0.0013,4600,-6.64539,-38.2465
(1-methylpropyl)-benzene,C6H5C4H9,135-98-8,2904,M,0.00075,2300,-7.19544,-19.1233
"(2,2,2-trifluoroethoxy)-ethene",CF3CH2OCHCH2,406-90-6,1943,L,0.00054,4000,-7.52394,-33.2579
"(2,2,2-trifluoroethoxy)-ethene",CF3CH2OCHCH2,406-90-6,2445,M,0.00055,4300,-7.50559,-35.7522
"(2,2,2-trifluoroethoxy)-ethene",CF3CH2OCHCH2,406-90-6,3696,L,0.00055,4000,-7.50559,-33.2579
(2-chloroethoxy)-ethene,C4H7ClO,110-75-8,usepa82,X,0.031,2500,-3.47377,-20.7862
(2-methylpropyl)-methanoate,HCOOC4H9,542-55-2,3518,L,0.016,5200,-4.13517,-43.2352
(2-methylpropyl)-methanoate,HCOOC4H9,542-55-2,3616,L,0.016,5200,-4.13517,-43.2352
(2-methylpropyl)-propanoate,C7H14O2,540-42-1,3616,L,0.015,6600,-4.19971,-54.8755
(2-propyl)-benzene,C6H5C3H7,98-82-8,1156,M,0.0016,3200,-6.43775,-26.6063
(2-propyl)-benzene,C6H5C3H7,98-82-8,1525,L,0.0012,3200,-6.72543,-26.6063
(2-propyl)-benzene,C6H5C3H7,98-82-8,2375,V,0.0011,5000,-6.81245,-41.5723
(2-propyl)-benzene,C6H5C3H7,98-82-8,2453,M,0.00089,4700,-7.02429,-39.078
(2-propyl)-benzene,C6H5C3H7,98-82-8,2891,M,0.0014,4900,-6.57128,-40.7409
(2-propyl)-benzene,C6H5C3H7,98-82-8,2904,M,0.001,2500,-6.90776,-20.7862
(2-propyl)-benzene,C6H5C3H7,98-82-8,3518,L,0.0009,4800,-7.01312,-39.9094
(2-propyl)-benzene,C6H5C3H7,98-82-8,3673,L,0.00084,4800,-7.08211,-39.9094
(2-propyl)-benzene,C6H5C3H7,98-82-8,903,M,0.00087,3300,-7.04702,-27.4377
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",C6H14O6,69-65-8,3067,V,1.8e+15,22000,35.1266,-182.918
"(2R,3R,4S)-pentane-1,2,3,4,5-pentol",C5H12O5,87-99-0,3067,V,3.9e+11,17000,26.6894,-141.346
