temperature [C],density [kg/m^3],Cp [J/g/K],viscosity [Pa*s],thermal conductivity [W/m/K]
0.01,999.84,4.2194,0.0017911,0.55567
2.01,999.94,4.213,0.001673,0.56069
4.01,999.97,4.2075,0.0015668,0.56549
6.01,999.94,4.2027,0.001471,0.5701
8.01,999.85,4.1987,0.0013843,0.57453
10.01,999.7,4.1951,0.0013055,0.5788
12.01,999.5,4.1921,0.0012337,0.58291
14.01,999.25,4.1896,0.001168,0.58688
16.01,998.94,4.1874,0.0011078,0.59072
18.01,998.6,4.1856,0.0010524,0.59444
20.01,998.2,4.184,0.0010014,0.59803
22.01,997.77,4.1828,0.00095417,0.60151
24.01,997.3,4.1818,0.00091047,0.60488
26.01,996.78,4.1809,0.00086991,0.60815
28.01,996.23,4.1803,0.0008322,0.61133
30.01,995.65,4.1798,0.00079705,0.61441
32.01,995.02,4.1795,0.00076425,0.61739
34.01,994.37,4.1793,0.00073358,0.6203
36.01,993.68,4.1792,0.00070485,0.62311
38.01,992.96,4.1793,0.00067791,0.62584
40.01,992.21,4.1794,0.00065261,0.6285
42.01,991.43,4.1796,0.0006288,0.63107
44.01,990.62,4.18,0.00060639,0.63357
46.01,989.79,4.1804,0.00058525,0.636
48.01,988.92,4.1808,0.00056529,0.63835
50.01,988.03,4.1813,0.00054642,0.64063
52.01,987.11,4.1819,0.00052857,0.64284
54.01,986.17,4.1826,0.00051167,0.64498
56.01,985.2,4.1833,0.00049563,0.64706
58.01,984.21,4.1841,0.00048042,0.64907
60.01,983.19,4.185,0.00046596,0.65101
62.01,982.15,4.1859,0.00045222,0.65289
64.01,981.09,4.1868,0.00043914,0.6547
66.01,980,4.1878,0.00042669,0.65645
68.01,978.89,4.1889,0.00041482,0.65814
70.01,977.76,4.1901,0.00040349,0.65977
72.01,976.61,4.1913,0.00039268,0.66133
74.01,975.43,4.1926,0.00038236,0.66284
76.01,974.24,4.1939,0.00037249,0.66428
78.01,973.02,4.1953,0.00036304,0.66567
80.01,971.78,4.1968,0.00035401,0.667
82.01,970.53,4.1983,0.00034535,0.66827
84.01,969.25,4.1999,0.00033705,0.66949
86.01,967.95,4.2016,0.0003291,0.67064
88.01,966.64,4.2034,0.00032147,0.67175
90.01,965.3,4.2052,0.00031414,0.67279
92.01,963.95,4.2071,0.0003071,0.67378
94.01,962.57,4.2091,0.00030034,0.67472
96.01,961.18,4.2112,0.00029383,0.67561
98.01,959.77,4.2134,0.00028757,0.67644
99.606,958.63,4.2152,0.00028275,0.67706
